"TERM","colors","cup","bold","setaf"
"pccon+keys","-1","''","''","''"
"pccon+sgr+acs","-1","''","''","''"
"pccon+sgr+acs0","-1","''","''","''"
"pccon-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pccon0","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pccon0-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pccons","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"pcix","-1","$'\E[%i%p1%2d;%p2%2dH'","''","''"
"pckermit","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pckermit120","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pcmw","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcplot","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt25","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt25-color","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"pcvt25w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt28","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt28w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt35","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt35w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt40","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt40w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt43","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt43w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt50","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvt50w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pcvtXX","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"pe1251","-1","$'\EX%p1%\' \'%+%c\EY%p2%\' \'%+%c'","''","''"
"pe7000c","-1","$'\ES%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pe7000m","-1","$'\ES%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pilot","-1","$'\Em%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"pmcons","-1","''","''","''"
"prism12","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"prism12-m","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
