"TERM","colors","cup","bold","setaf"
"vt510","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt510pc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt510pcdos","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt520","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt520ansi","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt525","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"vt61","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"vte","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"vte+pcfkeys","-1","''","''","''"
"vte-2007","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"vte-2008","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"vte-2012","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"vte-2014","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"vte-2017","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"vte-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"vte-direct","16777216","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e38;2;%p1%{65536}%/%d;%p1%{256}%/%{255}%&%d;%p1%{255}%&%d%;m'"
"vwmterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"wsiris","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wsvt25","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"wsvt25m","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"wy100","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy100q","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy120","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy120-25","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy120-25-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy120-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy120-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy120-w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy160","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy160-25","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy160-25-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy160-42","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy160-42-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy160-43","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy160-43-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy160-tek","-1","$'\035%{3103}%\'[\'%p1%*%-%Py%p2%\'7\'%*%Px%gy%{128}%/%{31}%&%\' \'%+%c%gy%{3}%&%{4}%*%gx%{3}%&%+%\'`\'%+%c%gy%{004}%/%{31}%&%\'`\'%+%c%gx%{128}%/%{31}%&%\' \'%+%c%gx%{004}%/%{31}%&%\'@\'%+%c\037'","''","''"
"wy160-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy160-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy160-w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy185","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy185-24","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy185-vb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy185-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy185-wvb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy30","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy30-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy30-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy325","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy325-25","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy325-25w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy325-42","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy325-42w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy325-42w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy325-43","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy325-43w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy325-43w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy325-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy325-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy325-w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy350","8","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy350-vb","8","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy350-w","8","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy350-wvb","8","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy370","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-105k","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-EPC","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-nk","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-rv","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-tek","-1","$'\035%{775}%\'l\'%p1%*%{5}%/%-%Py%p2%\'@\'%*%{4}%+%{5}%/%Px%gy%\' \'%/%{31}%&%\' \'%+%c%gy%{31}%&%\'`\'%+%c%gx%\' \'%/%{31}%&%\' \'%+%c%gx%{31}%&%\'@\'%+%c\037'","''","''"
"wy370-vb","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-w","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy370-wvb","64","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy50","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy50-mc","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy50-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy50-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy50-wvb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy520","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-24","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-36","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-36pc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-36w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-36wpc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-48","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-48pc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-48w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-48wpc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-epc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-epc-24","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-epc-vb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-epc-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-epc-wvb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-vb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy520-wvb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy60","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy60-25","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy60-25-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy60-42","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy60-42-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy60-43","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy60-43-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy60-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy60-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy60-w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy75","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"wy75-mc","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"wy75-vb","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"wy75-w","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"wy75-wvb","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"wy75ap","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"wy85","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy85-8bit","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy85-vb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy85-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy85-wvb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy99-ansi","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy99a-ansi","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"wy99f","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy99fa","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy99gt","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy99gt-25","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy99gt-25-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy99gt-tek","-1","$'\035%{3040}%\'Y\'%p1%*%-%Py%p2%\'7\'%*%Px%gy%{128}%/%{31}%&%\' \'%+%c%gy%{3}%&%{4}%*%gx%{3}%&%+%\'`\'%+%c%gy%{004}%/%{31}%&%\'`\'%+%c%gx%{128}%/%{31}%&%\' \'%+%c%gx%{004}%/%{31}%&%\'@\'%+%c\037'","''","''"
"wy99gt-vb","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"wy99gt-w","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wy99gt-w-vb","-1","$'\Ea%i%p1%dR%p2%dC'","''","''"
"wyse-vp","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"x10term","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"x68k","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xerox1720","-1","''","''","''"
"xerox820","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"xfce","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xiterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc+100x37","-1","''","''","''"
"xnuppc+112x37","-1","''","''","''"
"xnuppc+128x40","-1","''","''","''"
"xnuppc+128x48","-1","''","''","''"
"xnuppc+144x48","-1","''","''","''"
"xnuppc+160x64","-1","''","''","''"
"xnuppc+200x64","-1","''","''","''"
"xnuppc+200x75","-1","''","''","''"
"xnuppc+256x96","-1","''","''","''"
"xnuppc+80x25","-1","''","''","''"
"xnuppc+80x30","-1","''","''","''"
"xnuppc+90x30","-1","''","''","''"
"xnuppc+b","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[35m'","''"
"xnuppc+basic","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc+c","8","''","''","$'\E[3%p1%dm'"
"xnuppc+f","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[35m'","''"
"xnuppc+f2","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[33m'","''"
"xnuppc-100x37","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-100x37-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-112x37","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-112x37-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-128x40","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-128x40-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-128x48","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-128x48-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-144x48","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-144x48-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-160x64","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-160x64-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-200x64","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-200x64-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-200x75","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-200x75-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-256x96","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-256x96-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-80x25","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-80x25-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-80x30","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-80x30-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-90x30","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xnuppc-90x30-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-b","8","$'\E[%i%p1%d;%p2%dH'","$'\E[35m'","$'\E[3%p1%dm'"
"xnuppc-f","8","$'\E[%i%p1%d;%p2%dH'","$'\E[35m'","$'\E[3%p1%dm'"
"xnuppc-f2","8","$'\E[%i%p1%d;%p2%dH'","$'\E[33m'","$'\E[3%p1%dm'"
"xnuppc-m","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xnuppc-m-b","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[35m'","''"
"xnuppc-m-f","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[35m'","''"
"xnuppc-m-f2","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[33m'","''"
"xtalk","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"xterm+256color","256","''","''","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"xterm+256setaf","256","''","''","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"xterm+88color","88","''","''","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"xterm+alt+title","-1","''","''","''"
"xterm+alt1049","-1","''","''","''"
"xterm+app","-1","''","''","''"
"xterm+direct","16777216","''","''","$'\E[%?%p1%{8}%<%t3%p1%d%e38:2::%p1%{65536}%/%d:%p1%{256}%/%{255}%&%d:%p1%{255}%&%d%;m'"
"xterm+direct2","16777216","''","''","$'\E[%?%p1%{8}%<%t3%p1%d%e38:2:%p1%{65536}%/%d:%p1%{256}%/%{255}%&%d:%p1%{255}%&%d%;m'"
"xterm+edit","-1","''","''","''"
"xterm+indirect","16777216","''","''","$'\E[%?%p1%{8}%<%t3%p1%d%e38;2;%p1%{65536}%/%d;%p1%{256}%/%{255}%&%d;%p1%{255}%&%d%;m'"
"xterm+kbs","-1","''","''","''"
"xterm+noalt","-1","''","''","''"
"xterm+noapp","-1","''","''","''"
"xterm+pc+edit","-1","''","''","''"
"xterm+pcc0","-1","''","''","''"
"xterm+pcc1","-1","''","''","''"
"xterm+pcc2","-1","''","''","''"
"xterm+pcc3","-1","''","''","''"
"xterm+pce2","-1","''","''","''"
"xterm+pcf0","-1","''","''","''"
"xterm+pcf2","-1","''","''","''"
"xterm+pcfkeys","-1","''","''","''"
"xterm+r6f2","-1","''","''","''"
"xterm+sl","-1","''","''","''"
"xterm+sl-twm","-1","''","''","''"
"xterm+sm+1002","-1","''","''","''"
"xterm+sm+1003","-1","''","''","''"
"xterm+sm+1005","-1","''","''","''"
"xterm+sm+1006","-1","''","''","''"
"xterm+titlestack","-1","''","''","''"
"xterm+tmux","-1","''","''","''"
"xterm+vt+edit","-1","''","''","''"
"xterm+x10mouse","-1","''","''","''"
"xterm+x11hilite","-1","''","''","''"
"xterm+x11mouse","-1","''","''","''"
"xterm-1002","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-1003","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-1005","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-1006","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-16color","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"xterm-24","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xterm-88color","88","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"xterm-8bit","8","$'\233%i%p1%d;%p2%dH'","$'\2331m'","$'\2333%p1%dm'"
"xterm-basic","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-bold","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xterm-direct","16777216","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e38:2::%p1%{65536}%/%d:%p1%{256}%/%{255}%&%d:%p1%{255}%&%d%;m'"
"xterm-direct2","16777216","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e38:2:%p1%{65536}%/%d:%p1%{256}%/%{255}%&%d:%p1%{255}%&%d%;m'"
"xterm-hp","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-new","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-nic","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-noapp","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-old","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xterm-pcolor","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1;43m'","''"
"xterm-r5","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xterm-r6","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xterm-sco","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-sun","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-utf8","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-vt220","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-vt52","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"xterm-x10mouse","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-x11hilite","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-x11mouse","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xf86-v32","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xf86-v33","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xf86-v333","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xf86-v40","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xf86-v43","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xf86-v44","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xfree86","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm-xi","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xterm1","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xtermc","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"xtermm","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"xterms-sun","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"z100","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"z100bw","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"z29","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"z29a","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[2m'","''"
"z29a-kc-uc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[2m'","''"
"z29a-nkc-bc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[2m'","''"
"z29a-nkc-uc","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[2m'","''"
"z340","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"z340-nam","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"z39-a","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"zen30","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"zen50","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"ztx","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
